Building_Type,Building_Height_(m),Number_of_Floors,Fire_Occurrence,Type_of_Fire,Fire_Scale,Number_of_People_Rescued,Number_of_Fire_Extinguishers,Sprinkler_System_Present,Number_of_Emergency_Exits,Number_of_Fire_Alarms,Electrical_Equipment_Inspection_Conducted,Gas_Equipment_Inspection_Conducted,Recent_Repair_Replacement_History,Temperature_(_C),Humidity_(%),Wind_Speed_(m_s),Precipitation_(mm)
Residential,26,7,No,Negligence,Small,40,8,Yes,11,11,No,No,None,15.1,46.54758339103736,2.957175487484501,51.80863909837316
Commercial,21,6,No,Negligence,Small,28,10,No,5,8,No,No,None,16.791435384261398,72.52707016774771,1.436785204536497,35.74458400194403
Commercial,7,2,Yes,Negligence,Small,22,6,Yes,1,0,Yes,No,Within 1 year,23.1776640901954,68.34047672258625,3.370683531826149,2.3
Residential,39,11,Yes,Chemical,Small,27,1,Yes,7,8,Yes,No,None,27.837912252905674,69.99449182711766,2.212824659179085,2.3
Commercial,40,12,Yes,Chemical,Medium,0,2,No,12,15,No,No,Over 3 years,21.36292889448757,95.23776419453188,1.0562478123217025,37.72064037611435
Residential,28,8,No,Negligence,Small,32,5,No,7,6,Yes,Yes,None,17.74796538380552,82.30998589786432,1.9233577749144768,72.35968763587967
Industrial,5,1,No,Negligence,Medium,35,6,No,1,2,No,No,None,20.020453662346377,90.38369816259411,1.435384272076026,54.30023880376586
Residential,22,6,No,Chemical,Medium,7,7,Yes,4,10,No,No,None,23.2522834941342,61.592771814327904,1.703382679826884,24.53898729345529
Residential,12,3,No,Chemical,Medium,0,9,No,4,7,No,No,Within 1 year,18.47111296627788,60.27874531539225,3.129483890742644,15.04218956211222
Residential,5,1,No,Negligence,Small,8,10,Yes,1,7,No,No,Over 3 years,21.73900640570002,77.7206727989507,3.6453213499460126,21.74441089792118
Residential,21,6,No,Chemical,Large,2,6,Yes,7,8,No,No,Over 3 years,24.307422596063144,94.02609383481057,2.946257855117016,10.737434765743842
Commercial,34,10,No,Chemical,Large,50,1,No,9,6,No,Yes,1-3 years,22.81658528471667,99.4,1.6020461782215003,9.583451861085589
Residential,21,5,No,Chemical,Small,25,7,Yes,9,4,No,No,None,20.90505023831757,53.06923854152575,2.6526786934394937,20.283434188140227
Industrial,14,4,No,Chemical,Medium,16,6,Yes,1,6,No,No,Over 3 years,24.728473056102253,59.16259341040281,2.4731418726812526,65.86625161622804
Commercial,15,4,Yes,Chemical,Large,15,5,Yes,7,10,Yes,Yes,None,15.1,68.39492572831425,2.848760975753539,61.41681504148575
Industrial,38,11,No,Negligence,Small,23,7,Yes,8,10,No,No,Over 3 years,23.792876410991017,79.7508322780937,1.2720350445726931,45.99157548678849
Commercial,28,8,No,Negligence,Medium,39,2,No,7,5,No,No,None,20.569691146372705,73.18567374259146,1.9730993478779333,43.88972489637071
Residential,5,1,No,Chemical,Medium,24,8,Yes,1,0,No,No,Over 3 years,15.1,66.05155092765281,2.3958867012002627,64.89868538928096
Commercial,19,6,No,Chemical,Medium,44,5,Yes,6,12,No,No,None,22.91334911049861,72.7233422080486,1.9965328319230555,48.16528571385968
Commercial,16,5,Yes,Negligence,Medium,16,7,No,3,9,No,No,Within 1 year,23.831541814395717,61.11849451520759,4.9,26.363222065624434
Residential,32,9,Yes,Negligence,Medium,29,4,Yes,9,16,No,No,None,27.14726637639723,81.10919250212244,2.501170284124452,37.96536835903465
Commercial,38,11,Yes,Negligence,Large,46,3,No,5,3,No,No,Over 3 years,24.192070159096826,76.6946098841875,2.9853150194937346,9.750994726569443
Residential,40,12,No,Electrical,Large,17,6,Yes,13,13,No,No,Within 1 year,22.631462933779773,63.81399474567019,3.170391929289437,61.6732795090914
Industrial,21,6,No,Negligence,Medium,23,10,Yes,4,5,No,Yes,Within 1 year,18.95810704816225,59.24245480916826,2.965915885646747,32.11365260325085
Residential,28,8,No,Chemical,Small,34,6,Yes,5,3,No,No,Within 1 year,29.7,53.78224373110953,3.8109195389663353,36.1381324833124
Residential,13,4,Yes,Chemical,Small,8,3,Yes,2,7,No,Yes,Over 3 years,21.205202270866756,62.80602546173283,4.7335455642315525,27.2319948940168
Industrial,37,10,No,Negligence,Large,15,3,Yes,13,20,No,No,None,23.2407235065347,80.89585159292493,1.379166415077646,94.1
Residential,25,7,Yes,Negligence,Large,4,5,Yes,6,6,No,No,None,17.03189357730945,63.92566665477892,3.524180204872021,61.74401396227566
Commercial,15,4,Yes,Chemical,Medium,6,6,Yes,1,8,No,No,None,24.790286915568057,46.14884656904126,2.4242368520122994,19.75461492787669
Commercial,10,3,Yes,Negligence,Medium,34,4,Yes,3,3,No,No,None,19.385543338386125,84.74550023417727,3.31939411296063,26.80733569072011
Commercial,32,10,Yes,Negligence,Small,2,6,Yes,11,14,No,No,Within 1 year,20.18884195693146,66.73683498481712,2.491713514442744,72.16068351992641
Residential,12,3,Yes,Chemical,Large,22,7,No,5,1,No,No,None,19.931754435825404,64.52438609279159,3.300833104033424,25.04392612581229
Residential,7,2,No,Negligence,Small,33,9,No,4,7,No,No,None,18.147629331764072,47.887972279184055,3.985061981620522,21.73333350542448
Commercial,49,14,No,Negligence,Medium,14,8,Yes,13,14,No,No,Over 3 years,26.02681499094137,70.48108907977164,1.3814474829991092,2.3
Commercial,6,2,Yes,Chemical,Medium,18,4,Yes,3,4,No,No,Over 3 years,22.869771738400463,74.13865807377704,2.699173304668235,66.70858108312564
Commercial,7,2,No,Negligence,Small,5,6,No,2,5,No,No,Within 1 year,19.874931398290983,60.811471871263926,3.510231543732316,18.430966435690877
Residential,22,6,No,Electrical,Medium,50,5,No,4,8,No,No,Within 1 year,21.28733444849787,54.5821109128482,3.2970810426977883,14.69835991983767
Residential,10,4,Yes,Negligence,Small,36,9,Yes,8,12,No,No,Within 1 year,19.12646454711056,48.82666282454053,3.864728014027981,94.1
Commercial,24,7,No,Chemical,Medium,24,7,No,7,7,Yes,No,Within 1 year,23.302466742495167,50.32214866425201,2.7214845824757825,62.44073814307167
Residential,24,8,No,Chemical,Small,19,9,No,3,2,No,No,Over 3 years,17.238760947850345,61.47172176775,0.8364640281069253,45.59235969729191
Commercial,30,8,Yes,Negligence,Small,27,10,Yes,2,0,No,No,Within 1 year,29.7,54.310425896578,2.8609325340337035,2.3
Commercial,42,13,No,Chemical,Medium,38,8,Yes,13,5,No,Yes,Over 3 years,18.967003732815638,75.38087466338236,2.2457817149705037,28.26300646503752
Residential,5,1,Yes,Chemical,Large,32,5,Yes,1,2,No,No,Over 3 years,23.93092075681597,62.17273530852867,2.636853012036225,35.018340178043665
Commercial,12,3,Yes,Negligence,Small,33,8,Yes,8,12,No,No,None,18.845314331919216,71.09440803896669,2.9333086869066047,57.97440812705843
Commercial,25,8,No,Chemical,Medium,24,7,Yes,10,9,No,Yes,None,20.538120455577364,64.21961162310183,3.226034255196301,48.96638065116959
Residential,44,13,Yes,Negligence,Large,20,5,Yes,13,3,Yes,No,Within 1 year,16.03417838709068,83.62169464425764,1.7438054100072526,4.173590427497025
Residential,5,1,Yes,Chemical,Medium,21,5,Yes,3,4,No,No,Over 3 years,15.1,42.39650546830204,4.633743098781521,84.9445079162528
Residential,19,5,Yes,Chemical,Medium,10,3,Yes,6,3,No,No,Over 3 years,15.468591680821069,64.54708038734813,3.684438373275515,22.28556337466136
Residential,37,11,No,Chemical,Medium,25,1,Yes,8,8,No,Yes,None,25.03911710433363,52.1142659832292,2.2075663638270178,38.65546857998887
Commercial,49,14,Yes,Negligence,Large,25,3,Yes,9,4,No,Yes,Over 3 years,20.36337277941839,87.27103695879192,2.7215113314595296,11.931978694451075
Residential,22,6,No,Chemical,Medium,18,5,Yes,6,9,No,No,Over 3 years,18.853840918299483,59.94480402336103,4.345440802322398,24.25772741069607
Residential,35,10,No,Chemical,Small,9,5,Yes,14,20,Yes,Yes,None,24.370662942481893,84.33604536459923,3.4808789184985223,48.78955050238786
Commercial,27,8,Yes,Chemical,Large,28,1,Yes,7,0,No,No,None,18.811446490026764,77.31645493940981,4.276816500714968,15.90805865537747
Industrial,18,5,No,Negligence,Small,48,7,Yes,5,10,No,Yes,Over 3 years,21.108507023115,73.30262936930635,2.213229593430028,46.16394601913203
Residential,11,3,Yes,Negligence,Medium,27,2,Yes,2,0,No,No,None,19.22995675074909,79.75948801354754,0.8343480051337135,36.57824375088578
Commercial,31,9,No,Chemical,Medium,12,8,No,8,10,No,Yes,1-3 years,19.08232481780517,65.96562468816845,0.6,42.57002618803364
Commercial,32,9,No,Negligence,Medium,22,5,Yes,6,3,No,Yes,Over 3 years,18.627371095519557,49.77172603956109,2.463834051149991,58.82495540458387
Commercial,17,5,Yes,Negligence,Small,13,5,Yes,6,2,No,No,Within 1 year,22.817338952039705,76.56821752660345,4.03647786959472,28.79674271077732
Residential,37,11,No,Chemical,Small,31,4,Yes,13,15,Yes,Yes,Over 3 years,20.66243183165542,66.4946116890744,1.8648509646805973,43.03855005116014
Commercial,31,8,No,Electrical,Medium,47,8,Yes,9,9,No,No,Over 3 years,25.61940040850347,65.53268483563376,3.1614886430232283,2.3
Residential,8,3,No,Negligence,Medium,34,6,Yes,6,11,Yes,Yes,None,16.40646865600354,58.59114482531288,2.4997777122255576,94.1
Commercial,33,10,No,Negligence,Large,26,9,Yes,7,0,No,Yes,None,16.42020149754723,54.26995803882082,2.6791652173962395,24.82845549172425
Commercial,25,8,No,Negligence,Small,15,9,Yes,7,9,No,No,Within 1 year,22.90826781952949,66.54555422211588,1.9584039560756143,40.26111325475394
Commercial,49,14,No,Chemical,Large,10,2,Yes,14,13,No,Yes,None,26.19569891237835,61.235662304203885,2.3987313164938917,27.20574259258197
Commercial,16,5,No,Negligence,Medium,28,8,Yes,9,13,No,Yes,None,23.45299996106244,77.35691332786261,1.608879748823117,88.72505122635441
Commercial,9,2,Yes,Chemical,Medium,15,6,Yes,7,18,No,No,Within 1 year,26.376955953052807,53.38358940115155,3.4782751519847026,53.7062655103655
Industrial,20,6,Yes,Negligence,Medium,16,8,Yes,3,11,No,No,Over 3 years,22.400677648915977,67.41062618970452,3.9120000939648953,66.22040950473098
Commercial,43,12,No,Chemical,Medium,16,1,Yes,10,11,No,No,Within 1 year,25.508322972509923,57.228279106065465,0.970211335240316,53.28427048501638
Commercial,38,10,No,Chemical,Small,17,6,Yes,12,11,No,Yes,Within 1 year,18.520869993443245,71.84346076450291,0.6,43.89163668875982
Residential,25,7,No,Negligence,Medium,22,5,No,8,12,Yes,Yes,None,17.050835888875387,83.32285541450956,2.8051291886513265,69.81586155616557
Residential,12,3,No,Negligence,Medium,30,6,No,1,3,No,No,None,17.764583333377097,69.46807284377095,2.598057365612888,38.05218380894851
Residential,8,2,Yes,Negligence,Medium,21,9,Yes,5,9,No,No,None,26.70428724268263,68.76252241851476,1.7952901741062646,51.25546934315262
Commercial,10,2,Yes,Chemical,Large,22,5,Yes,2,0,No,No,1-3 years,20.9036749806902,60.0107311909302,2.3846610244765887,66.53050298903871
Residential,21,7,No,Negligence,Small,22,6,No,2,5,No,No,None,18.24012536949198,61.15233453602294,1.556861858841213,60.33557699721791
Residential,28,8,No,Negligence,Large,26,3,Yes,10,10,Yes,Yes,None,25.950718742279683,81.97789577762414,2.372116723260429,44.78569688942999
Residential,36,10,No,Chemical,Small,25,4,No,9,6,No,Yes,None,23.43681564796301,80.0125631073019,1.8437732582743231,22.514060115488952
Industrial,21,5,No,Negligence,Medium,16,10,Yes,8,10,No,No,Over 3 years,22.684130704095907,80.49213410352937,3.12262407515766,62.212667915385694
Residential,31,9,Yes,Negligence,Small,32,1,Yes,6,7,No,No,None,21.739082558892896,81.62294101961149,3.567068077568477,2.3
Residential,5,1,Yes,Chemical,Medium,33,4,No,1,9,No,No,None,22.103723116339733,60.40432651542481,1.792063257930173,20.41191272790716
Residential,21,6,No,Negligence,Medium,9,9,Yes,10,7,No,No,None,15.1,70.89712374777199,2.2718771750913844,45.75730460716857
Commercial,27,8,No,Chemical,Medium,46,4,Yes,6,5,No,No,None,17.314265425661183,57.1025970803925,3.0235179481516266,25.27009987802454
Commercial,28,7,No,Chemical,Small,25,7,No,6,2,No,No,Over 3 years,20.36141557368664,59.650626096968296,0.6,2.3
Residential,43,12,No,Negligence,Small,38,2,Yes,11,17,Yes,Yes,Over 3 years,19.52727062558504,59.31608565253941,1.9179430975440093,76.53757036793439
Residential,5,1,No,Negligence,Large,37,7,No,1,1,Yes,No,Over 3 years,21.261567541457804,61.516425006747966,3.28833338299286,56.43308207913488
Commercial,38,11,No,Chemical,Medium,22,3,No,6,0,No,No,1-3 years,29.7,52.63402626635565,3.4541264899005477,2.3
Commercial,16,4,No,Chemical,Medium,21,7,Yes,3,10,Yes,No,Over 3 years,16.214794859433734,58.06273751715223,3.02638407049887,83.81627178070056
Commercial,19,6,Yes,Electrical,Large,37,1,No,5,0,No,Yes,Within 1 year,17.395148308991217,66.61212941004496,4.9,2.3
Residential,21,6,No,Negligence,Small,8,10,Yes,6,6,No,Yes,Within 1 year,16.83774384352515,47.51050903038711,2.4518568341066755,20.781580977775853
Commercial,29,8,No,Chemical,Large,7,8,Yes,7,7,No,No,Over 3 years,17.75371862458592,66.76789595217862,3.950308119981135,5.465521895457837
Commercial,28,7,Yes,Negligence,Medium,10,8,Yes,8,6,Yes,No,Over 3 years,15.582175899311151,69.18682064440463,3.8933894081226086,48.253644729712434
Residential,33,9,Yes,Chemical,Medium,19,5,No,8,0,No,No,Over 3 years,15.11939083854489,53.34936801748591,4.9,14.672717957892385
Commercial,32,9,Yes,Chemical,Medium,25,4,No,8,6,Yes,No,None,22.420331342317244,86.55550294523024,2.4355444213810853,33.690399763042585
Commercial,25,7,Yes,Negligence,Small,15,6,No,6,4,Yes,No,Within 1 year,19.4354758828419,63.43161470421427,2.8527751294316537,18.999025153400726
Commercial,31,9,No,Chemical,Medium,34,10,Yes,8,8,No,Yes,Within 1 year,22.008922484978044,68.26363390642416,3.0815487920652185,47.56412626829469
Residential,5,1,No,Negligence,Small,26,6,Yes,1,5,No,No,Over 3 years,19.11524950729517,77.19506379090764,1.6866138357339828,3.863626892345131
Commercial,16,4,No,Negligence,Small,4,8,Yes,9,10,No,No,None,16.39545168119598,96.08537826731616,1.5827471517133944,6.871796791317145
Residential,43,12,No,Negligence,Medium,36,5,Yes,13,12,No,No,Over 3 years,21.318392458108253,73.54173301846261,1.2183385124247494,16.320948456365123
Residential,31,10,Yes,Negligence,Small,10,5,Yes,9,8,Yes,Yes,Within 1 year,19.209638331120143,45.43059440041718,3.6960610842949775,64.07162866223518
Residential,31,9,No,Chemical,Large,30,6,Yes,8,5,No,No,None,22.688754025748626,40.4,1.984847866475004,35.23325004295295
Residential,30,8,Yes,Negligence,Small,7,8,Yes,10,13,No,No,None,19.088761556075426,60.699799067416016,2.9888100875289134,38.46623527623449
Residential,31,9,No,Negligence,Large,6,5,Yes,13,15,No,Yes,None,22.892873634329767,66.06572816695498,3.585571293289748,36.916782705924135
Commercial,22,7,Yes,Negligence,Medium,50,4,Yes,5,0,No,No,Within 1 year,20.527294396756503,83.21551898623791,3.0849124499826357,28.836470856188825
Residential,31,9,Yes,Chemical,Small,42,2,Yes,9,8,No,Yes,None,26.829009057092925,56.58159434937616,2.75837317742744,35.29267777047302
Commercial,33,10,No,Chemical,Medium,46,5,No,8,7,No,No,None,21.759246037947296,44.59231623859671,1.5755009110115887,47.35277255896946
Residential,31,9,No,Negligence,Small,14,10,No,9,3,No,No,None,16.970399175311123,40.4,3.3026804270279646,16.46642382754759
Residential,39,11,No,Electrical,Large,45,6,Yes,12,9,Yes,Yes,Over 3 years,16.009543184164258,55.77543499077948,3.6247670655096376,94.1
Commercial,12,4,Yes,Chemical,Medium,16,6,No,8,9,No,No,None,21.19347150473429,85.95721333576263,4.134176745026496,11.064737833164674
Industrial,25,8,No,Chemical,Medium,18,5,Yes,10,9,No,Yes,None,20.048644553385845,78.86485664504912,2.668810970902537,72.62479523887896
Residential,27,7,No,Chemical,Medium,29,3,Yes,9,9,No,Yes,Within 1 year,23.60536739048361,71.00039402445033,2.3356928309145477,56.50546290712445
Industrial,21,5,Yes,Chemical,Medium,19,7,No,2,4,Yes,No,None,15.1,60.8810644500707,1.8962254429528664,23.13236378766311
Commercial,31,9,Yes,Chemical,Medium,32,7,Yes,14,11,No,Yes,None,20.208054335050512,99.4,2.357786470535076,71.07052757502629
Commercial,40,12,No,Electrical,Medium,24,8,Yes,11,11,Yes,No,1-3 years,28.880944755088645,72.88146094045548,1.6652348727619537,26.85284246759388
Industrial,28,8,No,Chemical,Small,46,6,Yes,7,10,No,No,1-3 years,22.00407729061943,48.22204574198912,1.0025456190440427,85.14424470016532
Commercial,11,3,Yes,Chemical,Large,38,6,Yes,5,9,No,No,None,28.898749076716054,99.4,2.9773487342436886,36.443585688137325
Commercial,9,2,Yes,Chemical,Small,22,5,No,1,0,No,No,None,19.517132608792323,59.86545964521527,1.8988487368814408,44.55766989179515
Residential,30,9,Yes,Chemical,Large,26,9,No,10,8,Yes,No,Within 1 year,24.50496320790382,67.96945832337423,4.1633698636130125,56.315051206016406
Residential,33,9,No,Negligence,Medium,23,7,Yes,11,9,No,Yes,1-3 years,17.55502988372072,74.24498959130919,2.4570624147799496,32.484478509801754
Residential,23,6,No,Negligence,Medium,41,4,No,5,4,No,No,None,15.1,58.03364268419316,3.318975671125922,20.895556200888784
Residential,27,8,Yes,Chemical,Large,13,6,Yes,6,7,No,Yes,Over 3 years,18.363632649013397,66.36362302310421,2.45713523675712,11.596788891520944
Commercial,29,8,Yes,Chemical,Medium,29,5,Yes,5,7,No,No,Over 3 years,23.283399132353,48.91444096105276,4.9,58.91459644846642
Industrial,26,7,Yes,Chemical,Small,8,8,Yes,2,3,No,No,Within 1 year,23.080973466167865,58.18497639155264,1.3515056110526935,43.202408080434914
Commercial,40,12,Yes,Negligence,Large,20,4,No,6,6,No,No,None,22.2216231348968,77.45586117531809,1.7681019583404358,14.630221257020718
Commercial,30,9,Yes,Chemical,Large,15,9,Yes,8,11,No,No,Over 3 years,22.689341443621007,52.332055875263805,3.060534006126259,47.85884820316558
Commercial,34,10,No,Negligence,Medium,32,9,No,10,4,Yes,No,None,24.781500047191823,63.391439642736486,4.464567918331217,54.19531343972518
Residential,44,13,Yes,Chemical,Large,36,4,Yes,11,6,No,No,Within 1 year,22.26270368122627,89.37275979854314,3.8644235319502185,38.72830606868437
Residential,13,4,No,Chemical,Small,25,3,Yes,7,7,Yes,No,None,25.48216267559914,87.60329103711652,3.1353617352469905,75.73719392426503
Residential,32,9,No,Chemical,Small,18,7,No,8,4,No,Yes,Over 3 years,21.80808563842781,69.59860004193958,2.6129422544375127,2.3
Residential,22,6,Yes,Negligence,Medium,26,10,Yes,5,7,No,Yes,Over 3 years,15.1,42.855091660807226,4.554056706918848,39.48643087773894
Residential,33,9,No,Negligence,Medium,34,9,No,13,8,No,No,Over 3 years,21.28652750174554,77.38586931925423,4.507320867097409,38.24569311880116
Commercial,45,13,Yes,Negligence,Medium,50,5,Yes,9,2,No,No,Over 3 years,15.1,68.82305582295365,2.7422869741597498,49.30453317585264
Residential,31,9,No,Chemical,Small,15,4,Yes,9,5,No,Yes,Over 3 years,18.8287060266826,65.30566743965957,2.530935908806607,74.86358675101553
Commercial,32,10,Yes,Chemical,Small,13,6,Yes,13,7,Yes,Yes,None,15.564797772043049,88.24294652960087,3.2469471822994667,24.65596271996044
Commercial,18,5,No,Chemical,Medium,23,3,No,2,3,No,No,None,22.13599014428901,65.19324068705191,3.375412084448276,6.560524575681143
Commercial,16,5,Yes,Chemical,Small,46,5,No,4,3,No,No,Over 3 years,15.938557770074992,41.7923438405017,3.371906295518706,26.817205300386544
Commercial,33,10,Yes,Chemical,Medium,27,8,Yes,12,3,Yes,Yes,Over 3 years,15.1,53.93224236391565,2.865060554037959,87.2248012226659
Commercial,17,5,Yes,Negligence,Small,25,7,Yes,6,5,No,Yes,Over 3 years,15.1,64.9309430755663,1.2948406817161182,28.082644193552312
Residential,13,4,No,Chemical,Small,12,8,Yes,6,14,No,No,None,21.963259984803017,64.12481913724181,3.6607706877776174,44.7678198214248
Residential,11,3,No,Negligence,Small,13,8,Yes,4,7,No,No,Over 3 years,24.808708026333896,74.38974944477428,2.3995941318981857,52.01731785138568
Commercial,32,9,Yes,Chemical,Small,29,7,Yes,13,10,No,No,Within 1 year,19.388563572429764,77.9829892475066,3.985681385802681,37.166805558217696
Commercial,19,5,No,Negligence,Large,25,6,No,2,8,No,Yes,1-3 years,26.03563938584133,79.46011846558352,1.8809664782441864,20.91538728960757
Commercial,34,10,No,Chemical,Large,40,1,Yes,7,8,No,Yes,Over 3 years,22.935478460421585,77.1475365423974,3.755161988588739,7.541436168304976
Residential,31,9,No,Negligence,Small,38,8,No,10,1,No,No,None,15.62397191580145,68.17741264292123,3.637994749757115,37.41889779761208
Commercial,34,9,No,Chemical,Large,31,8,No,13,14,No,Yes,Over 3 years,24.179142805470928,65.34110520494299,0.6,45.47612133477491
Commercial,14,4,No,Chemical,Small,13,9,Yes,5,11,No,No,Within 1 year,24.308195107941845,57.87294597858452,3.3932989987675355,2.3
Commercial,33,9,No,Negligence,Large,36,5,No,7,9,Yes,No,None,19.613835130570276,45.14822027848156,4.061968541893934,8.376923179596481
